carat,cut,color,clarity,depth,table,price,x,y,z,rowid
1.11,Ideal,G,VS2,61.20,56.00,6857.00,6.65,6.68,4.08,17173
1.02,Ideal,G,VS1,62.10,58.00,6857.00,6.40,6.45,3.99,17174
1.19,Ideal,D,SI1,62.00,57.00,6857.00,6.77,6.82,4.21,17175
1.31,Good,H,SI1,57.90,62.00,6857.00,7.18,7.25,4.18,17176
1.72,Premium,J,SI1,62.00,56.00,6857.00,7.76,7.70,4.79,17177
1.27,Ideal,H,SI1,60.10,58.00,6858.00,7.02,7.05,4.23,17178
1.12,Ideal,F,VS2,60.90,55.00,6858.00,6.73,6.67,4.08,17179
1.00,Ideal,E,VS2,61.70,54.00,6859.00,6.41,6.46,3.97,17180
1.35,Very Good,E,SI1,62.70,57.00,6860.00,7.01,7.05,4.41,17181
2.32,Fair,H,I1,70.50,55.00,6860.00,7.93,7.90,5.58,17182
1.00,Premium,E,VS2,61.80,62.00,6860.00,6.47,6.44,3.99,17183
1.21,Good,E,SI1,63.60,58.00,6861.00,6.65,6.77,4.27,17184
1.02,Very Good,G,VS1,63.30,58.00,6861.00,6.42,6.38,4.05,17185
1.11,Premium,F,VS2,62.70,59.00,6863.00,6.58,6.62,4.14,17186
1.06,Very Good,G,VS1,63.00,56.00,6863.00,6.47,6.51,4.09,17187
1.02,Very Good,D,SI1,60.30,56.00,6863.00,6.55,6.57,3.96,17188
1.02,Fair,F,VVS2,64.80,58.00,6863.00,6.22,6.28,4.05,17189
1.03,Ideal,G,VS1,62.30,56.00,6864.00,6.50,6.46,4.04,17190
1.05,Very Good,E,VS2,62.20,57.00,6865.00,6.44,6.56,4.04,17191
1.00,Very Good,G,VS1,59.40,59.00,6867.00,6.52,6.54,3.88,17192
1.18,Very Good,I,IF,63.30,58.00,6867.00,6.69,6.73,4.25,17193
1.24,Ideal,H,SI1,62.30,54.00,6867.00,6.88,6.90,4.29,17194
1.00,Premium,D,VS2,59.60,60.00,6868.00,6.57,6.52,3.90,17195
1.20,Very Good,H,VS2,62.50,59.00,6870.00,6.76,6.72,4.21,17196
2.72,Fair,J,I1,68.20,56.00,6870.00,8.46,8.43,5.76,17197
1.21,Good,H,VS1,59.50,65.00,6871.00,6.88,6.84,4.08,17198
1.00,Ideal,E,VS2,62.90,55.00,6871.00,6.40,6.36,4.01,17199
1.21,Very Good,H,VS1,63.30,58.00,6871.00,6.77,6.72,4.27,17200
1.00,Ideal,E,VS2,62.00,56.00,6871.00,6.46,6.41,3.99,17201
0.90,Very Good,D,VVS2,62.60,59.00,6872.00,6.11,6.15,3.84,17202
1.20,Very Good,F,SI1,63.50,57.00,6872.00,6.65,6.74,4.25,17203
1.09,Ideal,F,SI1,61.40,56.00,6872.00,6.63,6.66,4.08,17204
1.31,Ideal,I,VS2,61.70,55.00,6873.00,7.00,7.10,4.35,17205
1.26,Good,G,SI1,63.20,61.00,6874.00,6.81,6.87,4.32,17206
1.24,Premium,F,SI1,61.60,59.00,6874.00,6.86,6.90,4.24,17207
1.24,Premium,E,SI1,59.70,59.00,6875.00,7.07,6.99,4.20,17208
1.00,Very Good,E,VS2,59.00,58.00,6875.00,6.49,6.53,3.84,17209
1.21,Ideal,H,SI1,62.20,54.00,6876.00,6.80,6.86,4.25,17210
1.29,Premium,I,VS1,63.00,57.00,6877.00,6.99,6.89,4.37,17211
1.00,Very Good,D,VS2,62.60,56.00,6881.00,6.33,6.39,3.98,17212
1.01,Premium,G,VS1,61.70,56.00,6882.00,6.53,6.46,4.01,17213
1.01,Good,G,VS1,63.80,57.00,6882.00,6.38,6.35,4.06,17214
1.01,Premium,G,VS1,60.90,58.00,6882.00,6.47,6.43,3.93,17215
1.00,Very Good,F,VS1,62.10,60.00,6883.00,6.33,6.42,3.96,17216
1.35,Very Good,I,VS2,61.70,59.00,6884.00,7.05,7.09,4.36,17217
1.08,Ideal,F,SI1,61.80,55.00,6884.00,6.58,6.63,4.08,17218
1.31,Very Good,I,VS1,62.30,58.00,6885.00,6.99,7.03,4.37,17219
1.07,Premium,F,VS1,60.60,61.00,6885.00,6.62,6.56,3.99,17220
1.21,Ideal,E,SI1,62.00,56.00,6887.00,6.83,6.76,4.21,17221
1.21,Very Good,H,VS2,60.10,57.00,6887.00,6.88,6.97,4.16,17222
1.83,Fair,H,I1,68.00,57.00,6887.00,7.47,7.44,5.07,17223
1.22,Ideal,I,VS1,62.90,54.00,6887.00,6.83,6.79,4.29,17224
1.22,Ideal,I,VS1,62.60,57.00,6887.00,6.80,6.76,4.24,17225
1.22,Premium,F,SI1,61.80,59.00,6887.00,6.86,6.83,4.23,17226
1.23,Premium,G,SI1,61.20,59.00,6888.00,6.88,6.81,4.19,17227
1.50,Premium,I,SI1,62.30,58.00,6888.00,7.33,7.22,4.53,17228
0.97,Very Good,F,VVS2,58.10,60.00,6889.00,6.49,6.53,3.78,17229
1.41,Ideal,J,SI1,62.30,55.00,6889.00,7.18,7.21,4.48,17230
1.06,Ideal,G,VS2,61.90,54.00,6890.00,6.54,6.58,4.06,17231
1.04,Premium,G,VVS1,58.20,60.00,6890.00,6.71,6.66,3.89,17232
1.55,Premium,J,SI2,62.60,57.00,6890.00,7.37,7.32,4.60,17233
1.13,Ideal,G,VS2,62.70,56.00,6891.00,6.61,6.65,4.16,17234
0.90,Very Good,E,VVS2,63.70,57.00,6892.00,6.10,6.12,3.89,17235
1.21,Very Good,H,SI1,60.40,58.00,6892.00,6.91,6.96,4.19,17236
1.27,Premium,H,SI1,60.20,58.00,6892.00,7.04,6.99,4.22,17237
1.42,Very Good,I,VS1,60.10,65.00,6894.00,7.28,7.20,4.35,17238
1.24,Ideal,G,SI1,61.00,56.40,6895.00,6.93,6.99,4.25,17239
1.16,Ideal,E,SI1,61.90,57.00,6896.00,6.72,6.76,4.17,17240
1.52,Good,J,SI1,63.60,60.00,6897.00,7.21,7.25,4.60,17241
1.60,Premium,F,SI2,61.80,57.00,6899.00,7.51,7.46,4.63,17242
1.00,Premium,F,VS2,60.70,58.00,6899.00,6.45,6.36,3.89,17243
1.01,Premium,F,VS2,59.20,61.00,6900.00,6.59,6.55,3.89,17244
1.55,Ideal,E,SI2,62.30,55.00,6901.00,7.44,7.37,4.61,17245
1.03,Ideal,F,VS2,62.00,57.00,6902.00,6.40,6.48,3.99,17246
1.07,Premium,G,VS2,61.90,58.00,6903.00,6.55,6.54,4.05,17247
1.34,Ideal,H,SI2,61.60,56.00,6904.00,7.10,7.05,4.36,17248
1.01,Very Good,D,VS2,62.20,61.00,6905.00,6.37,6.43,3.98,17249
1.01,Very Good,D,VS2,60.40,58.00,6905.00,6.47,6.57,3.94,17250
1.01,Very Good,G,VS1,63.60,57.00,6905.00,6.30,6.35,4.02,17251
1.09,Ideal,G,VS2,62.00,54.00,6905.00,6.61,6.65,4.11,17252
1.52,Fair,I,SI2,64.70,58.00,6905.00,7.19,7.22,4.66,17253
1.02,Very Good,G,VS2,60.50,60.00,6906.00,6.53,6.49,3.94,17254
1.09,Premium,G,VS2,61.00,59.00,6906.00,6.60,6.65,4.04,17255
1.21,Good,G,VS2,63.70,59.00,6906.00,6.59,6.67,4.22,17256
1.04,Premium,F,VS2,61.70,59.00,6906.00,6.49,6.45,3.99,17257
1.01,Ideal,F,SI1,62.00,56.00,6907.00,6.41,6.46,3.99,17258
1.04,Premium,F,VS2,61.90,58.00,6908.00,6.55,6.51,4.04,17259
1.02,Premium,D,VS2,59.80,61.00,6909.00,6.61,6.54,3.93,17260
1.23,Premium,G,SI1,62.50,59.00,6909.00,6.84,6.77,4.25,17261
1.02,Very Good,D,VS2,63.40,54.00,6909.00,6.38,6.33,4.03,17262
1.00,Very Good,F,VS1,60.10,63.00,6910.00,6.42,6.45,3.87,17263
1.02,Very Good,F,VS2,62.80,57.00,6911.00,6.36,6.41,4.01,17264
1.19,Ideal,E,SI1,61.30,57.00,6911.00,6.81,6.83,4.18,17265
1.01,Good,D,VS2,61.80,59.00,6912.00,6.28,6.35,3.90,17266
1.65,Premium,G,I1,62.00,59.00,6912.00,7.57,7.53,4.68,17267
1.03,Ideal,G,VS1,62.00,54.80,6913.00,6.46,6.50,4.02,17268
1.05,Ideal,G,VS2,59.40,59.00,6914.00,6.62,6.65,3.94,17269
1.51,Very Good,I,SI2,63.20,58.00,6914.00,7.31,7.27,4.61,17270
1.02,Very Good,E,VS2,60.00,59.00,6915.00,6.54,6.59,3.94,17271
1.04,Very Good,D,VS1,60.80,58.00,6915.00,6.50,6.53,3.96,17272
1.61,Very Good,G,SI2,63.40,55.00,6915.00,7.47,7.35,4.70,17273
1.26,Premium,F,SI1,62.30,58.00,6915.00,6.89,6.84,4.28,17274
1.31,Very Good,I,VS2,61.20,58.00,6917.00,7.01,7.05,4.30,17275
1.07,Ideal,G,VS1,61.80,57.00,6917.00,6.58,6.52,4.05,17276
1.15,Premium,H,VVS2,58.80,58.00,6917.00,6.90,6.87,4.05,17277
1.12,Ideal,G,VS1,62.30,57.00,6918.00,6.59,6.64,4.12,17278
1.29,Ideal,J,VVS1,61.20,56.00,6918.00,7.01,7.05,4.30,17279
1.31,Premium,I,VS2,62.40,61.00,6921.00,6.98,6.90,4.33,17280
1.31,Premium,I,VS2,60.00,58.00,6921.00,7.15,7.11,4.28,17281
1.26,Ideal,F,SI1,60.60,56.00,6922.00,7.05,6.98,4.25,17282
1.50,Fair,E,SI2,64.80,55.00,6922.00,7.26,7.15,4.67,17283
1.03,Ideal,F,VS2,62.30,56.00,6922.00,6.52,6.49,4.05,17284
1.03,Premium,E,VS2,62.90,61.00,6922.00,6.42,6.36,4.02,17285
1.03,Ideal,F,VS2,61.20,54.00,6922.00,6.56,6.51,4.00,17286
1.01,Premium,F,VS2,61.40,57.00,6923.00,6.51,6.45,3.98,17287
1.12,Very Good,F,VS2,62.00,58.00,6925.00,6.63,6.69,4.13,17288
1.12,Good,F,VS2,63.80,57.00,6925.00,6.59,6.61,4.21,17289
1.14,Ideal,H,VS1,61.90,53.00,6926.00,6.73,6.75,4.17,17290
1.00,Very Good,F,VS2,61.90,58.00,6927.00,6.41,6.49,3.99,17291
1.73,Ideal,J,SI1,62.60,57.00,6927.00,7.69,7.65,4.80,17292
1.30,Ideal,G,VS1,62.40,56.00,6928.00,7.03,6.95,4.36,17293
1.15,Very Good,E,VS2,62.90,56.00,6929.00,6.65,6.68,4.19,17294
1.05,Premium,E,VS2,62.10,58.00,6930.00,6.50,6.54,4.05,17295
1.03,Very Good,G,VS2,61.00,58.00,6931.00,6.50,6.54,3.98,17296
1.08,Ideal,G,VS2,61.80,55.00,6931.00,6.57,6.63,4.08,17297
1.30,Premium,I,VS1,62.20,59.00,6931.00,6.97,6.91,4.32,17298
1.30,Ideal,I,VS1,62.10,57.00,6931.00,7.04,6.98,4.35,17299
1.22,Premium,F,SI1,62.50,59.00,6932.00,6.78,6.83,4.25,17300
1.01,Premium,G,VS1,60.70,58.00,6932.00,6.49,6.52,3.95,17301
1.01,Good,F,VVS2,63.60,60.00,6932.00,6.31,6.36,4.03,17302
1.05,Ideal,F,VS2,62.80,57.00,6933.00,6.48,6.45,4.06,17303
1.09,Ideal,G,VS1,62.40,57.00,6934.00,6.55,6.63,4.11,17304
1.22,Premium,H,VS2,62.40,58.00,6934.00,6.84,6.79,4.25,17305
1.51,Ideal,D,SI2,61.20,56.00,6934.00,7.40,7.36,4.52,17306
1.29,Premium,D,SI2,59.40,62.00,6935.00,7.06,6.99,4.17,17307
1.51,Good,J,VS2,64.00,58.00,6936.00,7.24,7.27,4.64,17308
1.05,Ideal,G,VS1,62.00,56.00,6936.00,6.47,6.53,4.03,17309
1.05,Premium,G,VS1,61.60,58.00,6936.00,6.48,6.51,4.00,17310
1.01,Very Good,G,VS1,63.10,57.00,6936.00,6.32,6.39,4.01,17311
1.28,Premium,D,SI2,61.20,58.00,6936.00,7.09,6.96,4.30,17312
1.00,Very Good,D,VS2,61.20,60.00,6937.00,6.40,6.42,3.92,17313
1.19,Good,E,VS2,57.40,60.00,6937.00,6.90,7.00,3.99,17314
1.01,Ideal,G,VS2,62.70,54.00,6937.00,6.43,6.47,4.04,17315
1.10,Ideal,G,VS2,60.90,56.00,6939.00,6.68,6.79,4.10,17316
1.51,Very Good,J,SI1,62.90,59.00,6942.00,7.25,7.29,4.57,17317
1.15,Premium,D,SI1,63.00,57.00,6942.00,6.69,6.64,4.20,17318
1.01,Very Good,F,VS2,60.50,59.00,6944.00,6.51,6.54,3.95,17319
1.25,Ideal,H,VS2,60.00,56.00,6944.00,7.04,6.99,4.21,17320
1.19,Premium,H,VS2,61.10,58.00,6944.00,6.83,6.78,4.16,17321
1.06,Ideal,I,VVS1,60.20,57.00,6945.00,6.62,6.66,4.00,17322
1.28,Premium,H,SI1,62.30,58.00,6946.00,7.00,6.94,4.34,17323
1.06,Premium,F,VS2,62.20,57.00,6947.00,6.58,6.53,4.08,17324
1.22,Ideal,H,VS2,61.40,57.00,6947.00,6.89,6.85,4.22,17325
1.10,Very Good,G,VS1,60.30,62.00,6951.00,6.72,6.67,4.04,17326
0.95,Ideal,G,IF,59.80,59.00,6951.00,6.36,6.43,3.82,17327
1.09,Premium,G,VS1,62.50,59.00,6951.00,6.57,6.54,4.10,17328
1.01,Ideal,G,VS1,62.70,56.00,6951.00,6.40,6.35,4.00,17329
1.01,Ideal,G,VS1,62.40,58.00,6951.00,6.43,6.39,4.00,17330
1.11,Very Good,G,VS2,62.20,57.00,6953.00,6.55,6.60,4.09,17331
1.16,Ideal,H,VS2,62.10,57.00,6954.00,6.70,6.73,4.17,17332
1.20,Very Good,F,SI1,63.30,58.00,6955.00,6.63,6.57,4.18,17333
1.04,Ideal,G,VS2,60.50,57.00,6955.00,6.56,6.62,3.99,17334
1.15,Premium,G,VS2,62.90,58.00,6955.00,6.70,6.62,4.19,17335
1.01,Very Good,E,VS2,62.60,59.00,6956.00,6.35,6.39,3.99,17336
1.20,Ideal,H,VS2,62.20,55.00,6956.00,6.76,6.85,4.23,17337
1.01,Ideal,E,VS2,61.40,57.00,6956.00,6.44,6.50,3.97,17338
1.00,Very Good,F,VS2,62.80,57.00,6957.00,6.29,6.35,3.97,17339
1.23,Premium,H,VS2,62.40,61.00,6957.00,6.85,6.80,4.26,17340
1.21,Ideal,G,SI1,62.10,57.00,6958.00,6.79,6.83,4.23,17341
1.00,Good,E,VS2,58.20,60.00,6958.00,6.52,6.54,3.80,17342
1.24,Ideal,H,SI1,61.60,57.00,6958.00,6.92,6.84,4.24,17343
1.18,Ideal,G,SI1,62.00,56.00,6960.00,6.76,6.79,4.20,17344
1.35,Very Good,I,VS2,62.10,62.00,6961.00,6.97,7.05,4.35,17345
1.08,Ideal,H,VVS1,62.50,54.00,6961.00,6.56,6.58,4.10,17346
1.72,Very Good,F,I1,60.50,59.00,6962.00,7.71,7.80,4.69,17347
1.12,Ideal,H,SI1,61.60,56.00,6962.00,6.64,6.68,4.11,17348
1.11,Ideal,H,VVS2,61.40,57.00,6962.00,6.67,6.63,4.08,17349
1.24,Premium,H,VS2,61.70,59.00,6962.00,6.91,6.84,4.24,17350
1.22,Very Good,G,VS2,63.10,56.00,6962.00,6.82,6.80,4.30,17351
1.11,Premium,D,SI1,62.00,58.00,6962.00,6.68,6.64,4.13,17352
1.33,Premium,I,VS1,61.50,58.00,6963.00,7.02,7.06,4.33,17353
1.33,Good,I,VS1,63.70,56.00,6963.00,6.92,6.96,4.42,17354
1.33,Premium,E,SI2,62.50,58.00,6963.00,6.99,7.03,4.38,17355
1.21,Premium,E,SI1,62.30,58.00,6963.00,6.77,6.74,4.21,17356
1.01,Ideal,G,VS2,62.60,56.00,6964.00,6.41,6.44,4.02,17357
1.24,Premium,D,SI2,61.40,59.00,6965.00,6.91,6.87,4.23,17358
1.56,Good,J,VS2,57.60,65.00,6966.00,7.60,7.62,4.38,17359
1.55,Ideal,J,SI2,62.30,54.00,6966.00,7.38,7.42,4.61,17360
1.01,Premium,G,VVS2,60.90,59.00,6968.00,6.59,6.54,4.00,17361
1.01,Ideal,E,VS2,61.30,57.00,6968.00,6.49,6.46,3.97,17362
1.02,Ideal,G,VS1,62.00,55.00,6968.00,6.40,6.53,4.01,17363
1.20,Ideal,H,SI1,61.10,56.00,6968.00,6.92,6.87,4.21,17364
1.01,Very Good,G,VVS2,63.40,55.00,6968.00,6.41,6.34,4.04,17365
1.01,Good,E,VS2,63.90,59.00,6968.00,6.34,6.31,4.04,17366
1.73,Premium,H,SI2,60.50,60.00,6968.00,7.79,7.71,4.69,17367
1.01,Premium,E,VS2,62.20,58.00,6968.00,6.41,6.36,3.97,17368
1.22,Premium,G,SI2,62.40,61.00,6969.00,6.79,6.79,4.23,17369
1.39,Good,F,SI2,63.80,55.00,6969.00,7.05,7.08,4.51,17370
0.32,Ideal,D,SI2,61.70,55.00,612.00,4.40,4.38,2.71,17371
0.32,Ideal,D,SI2,59.50,57.00,612.00,4.50,4.47,2.67,17372
0.32,Good,D,SI2,63.90,58.00,612.00,4.33,4.31,2.76,17373
0.32,Premium,G,SI1,62.80,56.00,612.00,4.36,4.34,2.73,17374
0.34,Premium,I,VS2,62.10,57.00,612.00,4.48,4.44,2.77,17375
0.34,Premium,I,VS2,61.80,58.00,612.00,4.51,4.48,2.78,17376
0.34,Premium,H,SI1,60.20,58.00,612.00,4.52,4.48,2.71,17377
0.34,Premium,H,SI1,62.10,59.00,612.00,4.50,4.46,2.78,17378
0.34,Ideal,E,SI2,62.40,57.00,612.00,4.50,4.47,2.80,17379
0.34,Premium,E,SI2,59.90,59.00,612.00,4.57,4.55,2.73,17380
0.34,Premium,E,SI2,61.70,58.00,612.00,4.54,4.50,2.79,17381
0.34,Premium,E,SI2,61.50,58.00,612.00,4.52,4.49,2.77,17382
0.34,Premium,E,SI2,62.40,59.00,612.00,4.46,4.42,2.77,17383
0.34,Premium,E,SI2,62.50,59.00,612.00,4.46,4.43,2.78,17384
0.34,Good,E,SI2,63.70,55.00,612.00,4.46,4.43,2.83,17385
0.34,Ideal,E,SI2,62.90,56.00,612.00,4.48,4.45,2.81,17386
0.32,Premium,G,SI1,62.50,58.00,612.00,4.43,4.40,2.76,17387
0.32,Premium,G,SI1,60.90,58.00,612.00,4.44,4.39,2.69,17388
0.32,Ideal,G,SI1,61.30,57.00,612.00,4.40,4.37,2.69,17389
0.32,Ideal,G,SI1,62.50,55.00,612.00,4.38,4.35,2.73,17390
0.32,Ideal,D,SI2,61.80,55.00,612.00,4.42,4.38,2.72,17391
0.32,Ideal,D,SI2,61.10,56.00,612.00,4.41,4.39,2.69,17392
0.32,Ideal,D,SI2,59.80,57.00,612.00,4.46,4.40,2.65,17393
0.32,Good,D,SI2,63.70,56.00,612.00,4.34,4.33,2.76,17394
0.32,Ideal,D,SI2,62.80,57.00,612.00,4.38,4.35,2.74,17395
0.32,Ideal,D,SI2,62.40,54.00,612.00,4.40,4.38,2.74,17396
0.32,Ideal,D,SI2,62.60,56.00,612.00,4.40,4.38,2.75,17397
0.34,Premium,E,SI1,59.30,58.00,612.00,4.59,4.55,2.71,17398
0.32,Ideal,G,SI1,61.40,57.00,612.00,4.41,4.38,2.70,17399
0.32,Ideal,G,SI1,61.60,57.00,612.00,4.42,4.38,2.71,17400
1.20,Good,E,SI1,64.00,61.00,6969.00,6.61,6.67,4.25,17401
1.22,Premium,D,SI2,61.90,60.00,6969.00,6.88,6.82,4.24,17402
1.09,Ideal,H,SI1,61.40,56.00,6970.00,6.61,6.64,4.07,17403
1.71,Good,F,SI2,63.70,54.00,6971.00,7.60,7.49,4.81,17404
1.56,Premium,F,SI2,63.00,58.00,6971.00,7.35,7.28,4.66,17405
1.10,Ideal,G,VS2,60.20,56.00,6972.00,6.70,6.74,4.05,17406
1.21,Very Good,H,VS1,63.40,55.00,6973.00,6.76,6.81,4.30,17407
1.20,Very Good,F,SI1,62.70,58.00,6973.00,6.74,6.72,4.22,17408
1.36,Ideal,J,VVS2,61.90,56.00,6973.00,7.16,7.13,4.42,17409
1.02,Very Good,D,VS2,62.70,58.00,6974.00,6.35,6.44,4.01,17410
1.03,Premium,D,VS1,59.60,61.00,6974.00,6.62,6.57,3.93,17411
1.21,Premium,H,VS2,59.30,60.00,6974.00,6.99,6.93,4.13,17412
1.01,Very Good,G,VVS2,63.30,57.00,6975.00,6.29,6.36,4.01,17413
1.51,Premium,J,SI1,61.20,62.00,6976.00,7.36,7.32,4.49,17414
1.51,Very Good,J,SI1,63.50,58.00,6976.00,7.29,7.24,4.61,17415
1.51,Fair,J,SI1,63.40,60.00,6976.00,7.31,7.18,4.59,17416
1.50,Premium,H,SI2,61.20,61.00,6979.00,7.34,7.27,4.47,17417
1.45,Very Good,J,VS2,62.60,58.00,6980.00,7.28,7.16,4.52,17418
1.13,Ideal,I,VS1,61.90,55.00,6980.00,6.67,6.70,4.14,17419
1.13,Ideal,I,VS1,61.80,57.00,6980.00,6.66,6.70,4.13,17420
1.05,Ideal,G,VS2,61.60,59.00,6981.00,6.51,6.54,4.02,17421
1.03,Ideal,G,VS2,61.30,57.00,6981.00,6.51,6.54,4.00,17422
1.06,Ideal,D,VS2,62.50,54.00,6981.00,6.60,6.53,4.10,17423
1.52,Good,J,VS2,63.10,61.00,6982.00,7.19,7.23,4.55,17424
1.08,Premium,G,VS1,62.90,55.00,6982.00,6.60,6.53,4.13,17425
1.08,Premium,G,VS1,62.70,56.00,6982.00,6.55,6.52,4.10,17426
1.11,Ideal,G,VS2,61.20,56.00,6982.00,6.68,6.65,4.08,17427
1.10,Ideal,G,VS1,61.50,57.00,6984.00,6.62,6.65,4.08,17428
1.20,Very Good,F,SI1,61.90,58.00,6985.00,6.75,6.82,4.20,17429
1.50,Very Good,J,SI1,62.50,58.00,6987.00,7.24,7.29,4.54,17430
1.10,Very Good,F,VS2,61.10,57.00,6987.00,6.65,6.71,4.08,17431
1.50,Very Good,J,SI1,62.70,58.00,6987.00,7.22,7.26,4.54,17432
1.29,Premium,H,VS2,62.40,57.00,6987.00,6.98,6.92,4.34,17433
1.41,Premium,D,SI2,61.10,56.00,6988.00,7.19,7.15,4.38,17434
1.00,Premium,G,VS1,62.90,60.00,6989.00,6.36,6.29,3.98,17435
1.23,Ideal,I,VVS1,62.10,57.00,6989.00,6.83,6.90,4.26,17436
1.00,Premium,G,VS1,58.60,61.00,6989.00,6.57,6.50,3.83,17437
1.00,Ideal,E,VS2,61.50,55.00,6989.00,6.47,6.44,3.97,17438
1.09,Very Good,F,VS2,61.40,54.00,6990.00,6.66,6.70,4.10,17439
1.58,Premium,F,SI2,60.70,60.00,6990.00,7.54,7.51,4.57,17440
1.24,Ideal,G,SI1,60.50,60.00,6994.00,6.97,6.91,4.20,17441
1.01,Very Good,E,VS1,62.00,57.00,6996.00,6.46,6.38,3.98,17442
1.56,Very Good,J,SI2,58.30,63.00,6996.00,7.64,7.70,4.47,17443
1.40,Good,H,SI2,62.50,57.00,6996.00,7.07,7.11,4.43,17444
1.04,Premium,G,VS1,62.00,56.00,6996.00,6.53,6.46,4.03,17445
1.01,Very Good,E,VS1,62.10,58.00,6997.00,6.39,6.45,3.99,17446
1.23,Very Good,H,SI1,60.30,58.00,6997.00,6.93,6.96,4.19,17447
1.07,Very Good,G,VS1,60.90,55.00,6998.00,6.60,6.64,4.03,17448
1.01,Good,D,VS2,62.10,59.00,6998.00,6.28,6.35,3.92,17449
1.31,Ideal,I,VS2,61.70,55.00,6999.00,7.10,7.00,4.35,17450
1.01,Very Good,F,VS1,62.80,58.00,6999.00,6.32,6.39,3.99,17451
1.01,Ideal,D,VS2,59.80,56.00,6999.00,6.49,6.52,3.89,17452
1.01,Good,F,VS1,63.30,60.00,6999.00,6.32,6.35,4.01,17453
1.01,Premium,F,VS1,61.30,58.00,6999.00,6.44,6.52,3.97,17454
1.01,Good,D,VS2,63.10,60.00,6999.00,6.35,6.39,4.02,17455
1.24,Premium,F,SI1,61.60,59.00,7000.00,6.90,6.86,4.24,17456
1.26,Very Good,G,SI1,63.20,61.00,7000.00,6.87,6.81,4.32,17457
1.01,Very Good,D,VS2,60.60,56.00,7001.00,6.45,6.51,3.93,17458
1.01,Very Good,F,VS1,63.70,56.00,7001.00,6.27,6.33,4.01,17459
1.01,Good,F,VVS2,65.90,54.00,7001.00,6.18,6.27,4.10,17460
1.30,Premium,D,SI2,60.20,59.00,7002.00,7.00,7.05,4.23,17461
1.00,Very Good,E,VS1,61.20,57.00,7002.00,6.43,6.47,3.95,17462
1.21,Ideal,I,VVS2,62.70,56.00,7002.00,6.80,6.83,4.27,17463
1.06,Very Good,G,VS1,62.00,58.00,7003.00,6.51,6.56,4.05,17464
1.16,Premium,F,VS2,62.70,58.00,7003.00,6.71,6.65,4.19,17465
1.27,Premium,G,SI1,61.40,59.00,7005.00,6.94,6.98,4.27,17466
2.23,Very Good,G,I1,63.50,57.00,7006.00,8.24,8.20,5.22,17467
0.91,Premium,E,VVS2,61.10,61.00,7006.00,6.24,6.20,3.80,17468
1.39,Premium,H,VS2,62.50,59.00,7006.00,7.17,7.10,4.46,17469
1.00,Good,G,VVS1,63.80,60.00,7007.00,6.31,6.35,4.04,17470
1.05,Very Good,G,VS1,62.30,56.00,7010.00,6.45,6.51,4.04,17471
1.01,Ideal,E,VS2,61.90,57.00,7013.00,6.43,6.37,3.96,17472
1.01,Ideal,F,VS2,61.90,54.00,7014.00,6.45,6.49,4.00,17473
1.04,Ideal,F,VS1,61.40,57.00,7015.00,6.51,6.56,4.01,17474
1.34,Ideal,I,VS1,62.20,57.00,7016.00,7.02,7.06,4.38,17475
1.00,Good,F,VVS2,56.50,63.00,7016.00,6.65,6.62,3.75,17476
1.13,Ideal,G,VS2,62.70,56.00,7016.00,6.65,6.61,4.16,17477
1.01,Premium,F,VS1,60.80,59.00,7017.00,6.45,6.41,3.91,17478
1.20,Ideal,E,SI2,62.00,57.00,7018.00,6.80,6.82,4.22,17479
1.51,Premium,H,SI2,62.30,62.00,7018.00,7.32,7.21,4.51,17480
1.04,Premium,E,VS2,62.40,58.00,7019.00,6.56,6.51,4.08,17481
2.11,Fair,F,I1,67.60,57.00,7019.00,7.88,7.83,5.31,17482
1.01,Very Good,G,VS1,63.60,57.00,7021.00,6.34,6.36,4.04,17483
1.10,Premium,G,VS2,59.40,60.00,7022.00,6.78,6.72,4.01,17484
1.52,Good,J,SI1,63.60,60.00,7022.00,7.25,7.21,4.60,17485
1.27,Ideal,E,SI2,60.80,57.00,7023.00,7.00,7.02,4.26,17486
2.01,Good,H,I1,63.90,59.00,7024.00,8.01,7.92,5.09,17487
1.05,Premium,F,VS2,62.60,58.00,7025.00,6.47,6.50,4.06,17488
1.28,Ideal,I,VS1,61.30,57.00,7025.00,7.02,6.98,4.29,17489
2.05,Good,G,I1,56.90,58.00,7026.00,8.46,8.30,4.77,17490
1.00,Good,D,VS2,60.70,61.00,7026.00,6.40,6.46,3.90,17491
1.02,Ideal,F,VS2,62.00,57.00,7026.00,6.46,6.44,4.00,17492
1.05,Ideal,G,VS1,61.30,57.00,7027.00,6.51,6.58,4.01,17493
1.05,Ideal,G,VS2,61.70,57.00,7028.00,6.56,6.53,4.04,17494
1.27,Very Good,I,VS1,60.60,59.00,7031.00,7.04,6.96,4.24,17495
1.01,Premium,D,VS2,60.40,58.00,7032.00,6.57,6.47,3.94,17496
1.01,Premium,D,VS2,62.20,61.00,7032.00,6.43,6.37,3.98,17497
1.15,Premium,G,VS1,63.00,60.00,7032.00,6.68,6.60,4.18,17498
1.09,Premium,G,VS2,61.00,59.00,7032.00,6.65,6.60,4.04,17499
1.51,Premium,J,SI1,62.30,58.00,7034.00,7.30,7.33,4.56,17500
1.04,Ideal,F,VS2,60.10,59.00,7035.00,6.59,6.63,3.97,17501
